id,name,ar_name,code,createdAt,updatedAt
1,Cairo,القاهرة,01,"2019-02-18 16:11:13","2019-02-18 16:11:13"
2,Alexandria,الاسكندريه,02,"2019-02-18 16:11:13","2019-02-18 16:11:13"
3,"Port Said",بورسعيد,03,"2019-02-18 16:11:13","2019-02-18 16:11:13"
4,Suez,السويس,04,"2019-02-18 16:11:13","2019-02-18 16:11:13"
11,Damietta,دمياط,11,"2019-02-18 16:11:13","2019-02-18 16:11:13"
12,Dakahlia,الدقهلية,12,"2019-02-18 16:11:14","2019-02-18 16:11:14"
13,Sharqia,الشرقية,13,"2019-02-18 16:11:14","2019-02-18 16:11:14"
14,Qalyubia,القليوبية,14,"2019-02-18 16:11:14","2019-02-18 16:11:14"
15,"Kafr El Sheikh","كفر الشيخ",15,"2019-02-18 16:11:14","2019-02-18 16:11:14"
16,Gharbia,الغربية,16,"2019-02-18 16:11:14","2019-02-18 16:11:14"
17,Monufia,المنوفية,17,"2019-02-18 16:11:14","2019-02-18 16:11:14"
18,Beheira,البحيرة,18,"2019-02-18 16:11:14","2019-02-18 16:11:14"
19,Ismailia,الإسماعيلية,19,"2019-02-18 16:11:14","2019-02-18 16:11:14"
21,Giza,الجيزة,21,"2019-02-18 16:11:14","2019-02-18 16:11:14"
22,"Beni Suef","بنى سويف",22,"2019-02-18 16:11:14","2019-02-18 16:11:14"
23,Faiyum,الفيوم,23,"2019-02-18 16:11:14","2019-02-18 16:11:14"
24,Minya,المنيا,24,"2019-02-18 16:11:14","2019-02-18 16:11:14"
25,Asyut,اسيوط,25,"2019-02-18 16:11:14","2019-02-18 16:11:14"
26,Sohag,سوهاج,26,"2019-02-18 16:11:14","2019-02-18 16:11:14"
27,Qena,قنا,27,"2019-02-18 16:11:15","2019-02-18 16:11:15"
28,Aswan,أسوان,28,"2019-02-18 16:11:15","2019-02-18 16:11:15"
29,Luxor,الأقصر,29,"2019-02-18 16:11:15","2019-02-18 16:11:15"
31,"Red Sea","البحر الاحمر",31,"2019-02-18 16:11:15","2019-02-18 16:11:15"
32,"New Valley","الوادى الجديد",32,"2019-02-18 16:11:15","2019-02-18 16:11:15"
33,Matruh,"محافظة مطروح",33,"2019-02-18 16:11:15","2019-02-18 16:11:15"
34,"North Sinai","شمال سيناء",34,"2019-02-18 16:11:15","2019-02-18 16:11:15"
35,"South Sinai","جنوب سيناء",35,"2019-02-18 16:11:15","2019-02-18 16:11:15"
99,"Test","جنوب سيناء",35,"2019-02-18 16:11:15","2019-02-1ا"

